# Results of lattice parameters predictions at different temperatures
# In-Temp, lx, ly, lz, Temp
10.0, 2.86728847904818, 2.86740075894595, 2.86746065082932, -4.31599451690919
20.0, 2.8683015835973, 2.8679269682186, 2.86835083346451, -4.3159794603117
50.0, 2.87024440883522, 2.87021054839378, 2.87063343260947, -4.31589170298708
100.0, 2.87439874542171, 2.87381401178998, 2.87308522758944, -4.31562335628433
150.0, 2.87617985002063, 2.87664417151201, 2.87679156962417, -4.31529282496157
200.0, 2.87772482709912, 2.87914461157451, 2.87920206943021, -4.31496629742342
300.0, 2.88489316219982, 2.88321161411959, 2.88458831264256, -4.31384712377626
400.0, 2.89136914146462, 2.88843497475179, 2.88698094537498, -4.31257914121287
500.0, 2.89650850700098, 2.894662460113, 2.89581461810577, -4.31032904323268
600.0, 2.90142298933638, 2.90069926860989, 2.89720589619929, -4.30868925169329
700.0, 2.90801171363284, 2.90333566752725, 2.90609697074482, -4.30594740613808
800.0, 2.91325064784029, 2.90839717085098, 2.9127045166225, -4.30301897114097
900.0, 2.91417491041197, 2.91880063925602, 2.91738897122007, -4.29987463043785
1000, 2.92551831402549, 2.92402209264677, 2.91471642655886, -4.29684305017379
